Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
B1,52.47994101876723,-1.9092213678605525,Milan Indian Cuisine,52.482956892442814,-1.9046691049503992,Indian Restaurant
B1,52.47994101876723,-1.9092213678605525,Philpotts,52.48228715846592,-1.9036578098598926,Café
B1,52.47994101876723,-1.9092213678605525,Chamberlain Square,52.4799006595214,-1.9040641864892969,Plaza
B1,52.47994101876723,-1.9092213678605525,Chung Ying Central,52.48020303418319,-1.9020702335112425,Dim Sum Restaurant
B1,52.47994101876723,-1.9092213678605525,Victoria Square Fountain,52.47989523377574,-1.9022922351724596,Fountain
B10,52.469581840713424,-1.852360711209523,Eis Café,52.46944094361425,-1.8576135218106984,Café
B10,52.469581840713424,-1.852360711209523,Subway,52.46790686422376,-1.8529947050886904,Sandwich Place
B10,52.469581840713424,-1.852360711209523,Westen Mix,52.467932788687015,-1.8541145324707031,Fast Food Restaurant
B10,52.469581840713424,-1.852360711209523,Small Heath Leisure Centre,52.47124377689993,-1.856754073560689,Gym / Fitness Center
B10,52.469581840713424,-1.852360711209523,Alaturka,52.46668,-1.848568,Turkish Restaurant
B10,52.469581840713424,-1.852360711209523,Taza Grill,52.46986032757298,-1.8590281971569054,Middle Eastern Restaurant
B11,52.454500601353026,-1.8580455935683131,Subway,52.4527930336745,-1.8531168800921483,Sandwich Place
B11,52.454500601353026,-1.8580455935683131,Pranzo,52.455051000784295,-1.8575956609160125,Italian Restaurant
B11,52.454500601353026,-1.8580455935683131,The Shire Country Park,52.4509204918937,-1.855097651162632,Park
B11,52.454500601353026,-1.8580455935683131,Safeer Appliances LTD,52.450111870760864,-1.8583041429519653,Electronics Store
B12,52.46066095005471,-1.8835302351529204,ORT Cafe,52.45715528061289,-1.8857286942749343,Café
B12,52.46066095005471,-1.8835302351529204,Currys PC World,52.46428030785425,-1.885004856475121,Electronics Store
B12,52.46066095005471,-1.8835302351529204,Dunelm,52.464359204800246,-1.8849601117135535,Furniture / Home Store
B12,52.46066095005471,-1.8835302351529204,Karachi Fried Chicken,52.460281068849234,-1.8774790383963667,Fast Food Restaurant
B12,52.46066095005471,-1.8835302351529204,Taste of Pakistan,52.459387,-1.876512,Indian Restaurant
B12,52.46066095005471,-1.8835302351529204,Kafe Karachi,52.45845499579077,-1.8771629499668154,Fast Food Restaurant
B14,52.41732981666702,-1.8898230156413702,Cocks Moors Woods Leisure Centre,52.417328876075324,-1.8880807483332644,Gym / Fitness Center
B14,52.41732981666702,-1.8898230156413702,The Crown in,52.421019315788705,-1.8919196155956586,Restaurant
B14,52.41732981666702,-1.8898230156413702,Tesco Express,52.42120823966746,-1.891559511423111,Grocery Store
B14,52.41732981666702,-1.8898230156413702,HCF Chinese Take Away,52.42070007324219,-1.8915764093399048,Chinese Restaurant
B14,52.41732981666702,-1.8898230156413702,AE Wedding Photography,52.4202083,-1.8855313000000251,Photography Studio
B14,52.41732981666702,-1.8898230156413702,Centurion plastering,52.41340959999999,-1.892641200000071,Home Service
